code,tags,author,solved,attempted,partiallySolved
BLOCKING,"['aug12', 'graph', 'matching', 'jingbo_adm']",jingbo_adm,310,1811,0
CHEFPASS,"['cook25', 'euler-tour', 'graph', 'shilp_adm']",shilp_adm,79,200,0
UNFRIEND,"['colouring', 'cook25', 'gauss-elim', 'graph', 'shilp_adm']",shilp_adm,44,112,0
TREEFUN,"['cook27', 'graph', 'lca', 'gennady_adm']",gennady_adm,68,409,0
TOURMAP,"['graph', 'hash-map', 'nov12', 'simple', 'kaush_adm']",kaush_adm,1676,8184,0
UNPAIR,"['graph-theory', 'ltime22', 'medium-hard', 'mst', 'pnkjjindal']",pnkjjindal,69,229,0
CLSHDN,"['cole2016', 'graph-theory', 'hard', 'query', 'shortest-path', 'nib_ir']",nib_ir,10,63,0
KETYES,"['chandubaba', 'graph', 'graph-theory', 'keteki', 'simple', 'chandubaba']",chandubaba,83,170,0
INLO23,"['bfs', 'graph-theory', 'inlo2016', 'medium-hard', 'ravit0001']",ravit0001,123,253,0
MCO16104,"['bfs', 'dfs', 'easy', 'graph-theory', 'zscoder']",zscoder,51,163,0
CLIQUED,"['april17', 'easy', 'graph-theory', 'errichto']",errichto,5943,22591,0
SNGRAPH,"['dsu', 'graph-theory', 'medium', 'snckpb17', 'admin2']",admin2,690,5381,0
SNSOCIAL,"['bfs', 'easy-medium', 'graph-theory', 'snckpb17', 'admin2']",admin2,2915,16604,0
FARGRAPH,"['cook90', 'graph-theory', 'medium-hard', 'admin3']",admin3,18,89,0
CTREE,"['cook91', 'data-structure', 'dfs', 'graph-theory', 'hard', 'tree', 'mgch']",mgch,12,88,0
FLY,"['functions', 'graphs', 'june12', 'medium', 'nam_adm']",nam_adm,124,1341,0
PUSHFLOW,"['aug14', 'graphs', 'hard', 'heavy-light', 'tree', 'kostya_by']",kostya_by,117,949,0
HISTJUNK,"['central-nodes', 'eccentricity', 'graphs', 'snck151a', 'sergey_adm']",sergey_adm,106,572,0
DINING,"['graphs', 'min-cost-flow', 'snck151a', 'sergey_adm']",sergey_adm,63,673,0
CARDLINE,"['cook61', 'dynamic-programming', 'graphs', 'greedy', 'medium-hard', 'imran_adm']",imran_adm,59,788,0
CHEFGIRL,"['dec15', 'directed', 'dynamic-programming', 'graphs', 'medium', 'berezin']",berezin,1350,1813,0
CAKEDOOM,"['greedy', 'june12', 'simple', 'kaush_adm']",kaush_adm,1190,12184,0
NOCODING,"['cook25', 'greedy', 'shilp_adm']",shilp_adm,3957,7173,0
MANYCHEF,"['cook30', 'greedy', 'simple', 'hiroto_adm']",hiroto_adm,2867,8643,0
DEFACING,"['cook30', 'easy', 'greedy', 'hiroto_adm']",hiroto_adm,264,2221,0
AVDWAST,"['cook30', 'greedy', 'medium-hard', 'hiroto_adm']",hiroto_adm,31,432,0
HOB2,"['cook31', 'easy', 'greedy', 'anton_adm']",anton_adm,203,733,0
MAXDIFF,"['april13', 'cakewalk', 'greedy', 'sorting', 'vamsi_adm']",vamsi_adm,10210,35826,0
LEMUSIC,"['april13', 'easy', 'greedy', 'sorting', 'witaliy_adm']",witaliy_adm,2510,11462,0
COOLNUM,"['hard', 'june12', 'prime-factor', 'istva_adm']",istva_adm,133,917,0
MATCH,"['hard', 'june12', 'matching', 'probability', 'jingbo_adm']",jingbo_adm,115,421,0
DGCD,"['hard', 'heavy-light', 'july12', 'number-theory', 'nikhil_adm']",nikhil_adm,324,2217,0
EST,"['hard', 'hashing', 'july12', 'strings', 'gennady_adm']",gennady_adm,63,412,0
GTHRONES,"['aug12', 'flow', 'hard', 'matching', 'nikhil_adm']",nikhil_adm,78,721,0
MAXCIR,"['hard', 'oct12', 'chen_adm']",chen_adm,55,1186,0
TICKETS,"['hard', 'may12', 'david_adm']",david_adm,76,912,0
TRSUBTR,"['cook40', 'hashing', 'kmp', 'medium', 'vineet_adm']",vineet_adm,242,1205,0
DECORATE,"['burnside', 'dec13', 'hard', 'hashing', 'sergey_adm']",sergey_adm,173,1273,0
SSTORY,"['binary-search', 'hashing', 'march14', 'medium', 'suffix-array', 'suffix-auto', 'bruno_adm']",bruno_adm,1243,11047,0
SEAPERM2,"['ad-hoc', 'hashing', 'medium', 'nov14', 'sereja_adm']",sereja_adm,1531,3693,0
ACM14KP3,"['acmkgp14', 'hashing', 'medium', 'segment-tree', 'suffix-array', 'admin']",admin,68,567,0
AMR14C,"['amr14ros', 'easy', 'hashing', 'murdocc007']",murdocc007,504,2130,0
GOOGOL02,"['ad-hoc', 'dynamic-programming', 'hashing', 'two-pointers', 'surajjumpy']",surajjumpy,10,67,0
WMIS,"['backtracking', 'hashing', 'memoization', 'snck15fl', 'tree', 'sergey_adm']",sergey_adm,42,119,0
QUERY,"['feb13', 'hard', 'heavy-light', 'persistence', 'sergey_adm']",sergey_adm,210,1554,0
QTREE,"['hard', 'heavy-light', 'may13', 'segment-tree', 'simple-math', 'tuan_adm']",tuan_adm,137,719,0
QTREE6,"['dec13', 'hard', 'heavy-light', 'link-cut-tree', 'xiaodao']",xiaodao,286,1648,0
IDOLS,"['cook47', 'hard', 'heavy-light', 'segment-tree', 'kostya_by']",kostya_by,104,727,0
FIBTREE,"['hard', 'heavy-light', 'math', 'persistence', 'segment-tree', 'sept14', 'dzy493941464']",dzy493941464,150,1208,0
CHEFTREE,"['cook65', 'data-structure', 'hard', 'heavy-light', 'segment-tree', 'mgch']",mgch,46,289,0
ICLFIN04,"['dynamic-programming', 'icl2015', 'medium-hard', 'f2012086']",f2012086,1,23,0
ICLFIN06,"['dynamic-programming', 'graph', 'hard', 'icl2015', 'f2012086']",f2012086,1,1,0
ICLFIN02,"['cakewalk', 'icl2015', 'f2012086']",f2012086,71,108,0
ICLFIN05,"['dynamic-programming', 'icl2015', 'medium-hard', 'f2012086']",f2012086,17,67,0
ICLFIN03,"['dynamic-programming', 'icl2015', 'maths', 'f2012086']",f2012086,54,74,0
ICLFIN01,"['easy-medium', 'icl2015', 'f2012086']",f2012086,14,75,0
ACMICL2,"['binary', 'exponentiation', 'icl2015', 'math', 'matrices', 'medium', 'f2012086']",f2012086,22,136,0
